ASD Acronym,Designation,Title of Standard,Link
,ISO 7193:1985,Wheelchairs  Maximum overall dimensions,https://www.iso.org/standard/13810.html
,ISO 9386-1:2000,Power-operated lifting platforms for persons with impaired mobility  Rules for safety dimensions and functional operation  Part 1: Vertical lifting platforms,https://www.iso.org/standard/33822.html
,ISO 9386-2:2000,Power-operated lifting platforms for persons with impaired mobility  Rules for safety dimensions and functional operation  Part 2: Powered stairlifts for seated standing and wheelchair users moving in an inclined plane,https://www.iso.org/standard/33823.html
,ISO/TR 9527:1994,Building construction  Needs of disabled people in buildings  Design guidelines,https://www.iso.org/standard/22799.html
,ISO 10535:2021,Assistive products  Hoists for the transfer of persons  Requirements and test methods,https://www.iso.org/standard/72711.html
,ISO 10542-1:2012 /Cor 1:2013,Technical systems and aids for disabled or handicapped persons  Wheelchair tiedown and occupant-restraint systems  Part 1: Requirements and test methods for all systems  Technical Corrigendum 1,https://www.iso.org/standard/64122.html
,ISO 10542-2:2001,Technical systems and aids for disabled or handicapped persons  Wheelchair tiedown and occupant-restraint systems  Part 2: Four-point strap-type tiedown systems,https://www.iso.org/standard/21409.html
,ISO 10542-3:2005,Technical systems and aids for disabled or handicapped persons  Wheelchair tiedown and occupant-restraint systems  Part 3: Docking-type tiedown systems,https://www.iso.org/standard/30495.html
,ISO 10542-4:2004,Technical systems and aids for disabled or handicapped persons  Wheelchair tiedown and occupant-restraint systems  Part 4: Clamp-type tiedown systems,https://www.iso.org/standard/30496.html
,ISO 10542-5:2004,Technical systems and aids for disabled or handicapped persons  Wheelchair tiedown and occupant-restraint systems  Part 5: Systems for specific wheelchairs,https://www.iso.org/standard/30497.html
,ISO 10865-1:2012,Wheelchair containment and occupant retention systems for accessible transport vehicles designed for use by both sitting and standing passengers  Part 1: Systems for rearward-facing wheelchair-seated passengers,https://www.iso.org/standard/46214.html
,ISO 10865-2:2015,Wheelchair containment and occupant retention systems for accessible transport vehicles designed for use by both sitting and standing passengers  Part 2: Systems for forward-facing wheelchair-seated passengers,https://www.iso.org/standard/46215.html
,ISO 11199-1:2021,Assistive products for walking manipulated by both arms  Requirements and test methods  Part 1: Walking frames,https://www.iso.org/standard/76651.html
,ISO 11199-2:2021 /PRF Amd 1,Assistive products for walking manipulated by both arms  Requirements and test methods  Part 2: Rollators  Amendment 1: Eliminate brake requirements in 6.5 Structure requirements,https://www.iso.org/standard/87841.html
,ISO 11199-3:2005,Walking aids manipulated by both arms  Requirements and test methods  Part 3: Walking tables,https://www.iso.org/standard/41191.html
,ISO 11334-1:2007,Assistive products for walking manipulated by one arm  Requirements and test methods  Part 1: Elbow crutches,https://www.iso.org/standard/36054.html
,ISO 11334-4:1999,Walking aids manipulated by one arm  Requirements and test methods  Part 4: Walking sticks with three or more legs,https://www.iso.org/standard/24915.html
,ISO/TR 13570-1:2005,Wheelchairs  Part 1: Guidelines for the application of the ISO 7176 series on wheelchairs,https://www.iso.org/standard/41686.html
,ISO/TR 13570-2:2014,Wheelchairs  Part 2: Typical values and recommended limits of dimensions mass and manoeuvring space as determined in ISO 7176-5,https://www.iso.org/standard/41687.html
,ISO/TR 13570:2001,Guidelines for the application of the ISO 7176 series on wheelchairs,https://www.iso.org/standard/34602.html
,ISO 16840-1:2006,Wheelchair seating  Part 1: Vocabulary reference axis convention and measures for body segments posture and postural support surfaces,https://www.iso.org/standard/42064.html
,ISO 16840-2:2018 /Amd 1:2024,Wheelchair seating  Part 2: Determination of physical and mechanical characteristics of seat cushions intended to manage tissue integrity  Amendment 1: Updates and addition of new Annex covering alternatively sized cushions,https://www.iso.org/standard/84862.html
,ISO 16840-3:2022,Wheelchair seating  Part 3: Determination of static impact and repetitive load strengths for postural support devices,https://www.iso.org/standard/79160.html
,ISO 16840-4:2009,Wheelchair seating  Part 4: Seating systems for use in motor vehicles,https://www.iso.org/standard/40995.html
,ISO 16840-6:2015,Wheelchair seating  Part 6: Simulated use and determination of the changes in properties of seat cushions,https://www.iso.org/standard/50420.html
,ISO/TR 16840-9:2015,Wheelchair seating  Part 9: Clinical interface pressure mapping guidelines for seating,https://www.iso.org/standard/65198.html
,ISO 16840-10:2021 /Amd 1:2024,Wheelchair seating  Part 10: Resistance to ignition of postural support devices  Requirements and test method  Amendment 1: Amended with additional Annexes and test method,https://www.iso.org/standard/86442.html
,ISO 16840-11:2022,Wheelchair seating  Part 11: Determination of dissipation characteristics of sensible perspiration into seat cushions,https://www.iso.org/standard/83111.html
,ISO/TS 16840-11:2014,Wheelchair seating  Part 11: Determination of perspiration dissipation characteristics of seat cushions intended to manage tissue integrity,https://www.iso.org/standard/63041.html
,ISO 16840-12:2021 /DAmd 1,Wheelchair seating  Part 12: Envelopment and immersion characterization of seat cushions using a dual semispherical indenter  Amendment 1,https://www.iso.org/standard/89712.html
,ISO/TS 16840-12:2015,Wheelchair seating  Part 12: Apparatus and method for cushion envelopment testing,https://www.iso.org/standard/65506.html
,ISO 16840-13:2021 /DAmd 1,Wheelchair seating  Part 13: Determination of the lateral stability property of a seat cushion  Amendment 1,https://www.iso.org/standard/89713.html
,ISO/TS 16840-14:2023,Wheelchair seating  Part 14: Concepts related to managing external forces to maintain tissue integrity,https://www.iso.org/standard/83845.html
,ISO/TS 16840-15:2024,Wheelchair seating  Part 15: Selection placement and fixation of flexible postural support devices in seating,https://www.iso.org/standard/80064.html
,ISO 19894:2019,Walking trolleys  Requirements and test methods,https://www.iso.org/standard/66523.html
,ISO 24415-1:2009,Tips for assistive products for walking  Requirements and test methods  Part 1: Friction of tips,https://www.iso.org/standard/42202.html
,ISO 24415-2:2011,Tips for assistive products for walking  Requirements and test methods  Part 2: Durability of tips for crutches,https://www.iso.org/standard/42273.html
,ISO 12124:2001,Acoustics  Procedures for the measurement of real-ear acoustical characteristics of hearing aids,https://www.iso.org/standard/3450.html
,ISO 19029:2016,Accessible design  Auditory guiding signals in public facilities,https://www.iso.org/standard/63762.html
,ISO 21388-2:2024,Acoustics  Hearing aid fitting management  Part 2: Tele-services as part of hearing aid fitting management (tHAFM),https://www.iso.org/standard/82924.html
,ISO 21388:2020,Acoustics  Hearing aid fitting management (HAFM),https://www.iso.org/standard/74602.html
,ISO 23600:2007,Assistive products for persons with vision impairments and persons with vision and hearing impairments  Acoustic and tactile signals for pedestrian traffic lights,https://www.iso.org/standard/41683.html
,ISO 24500:2010,Ergonomics  Accessible design  Auditory signals for consumer products,https://www.iso.org/standard/46170.html
,ISO 24501:2010,Ergonomics  Accessible design  Sound pressure levels of auditory signals for consumer products,https://www.iso.org/standard/46171.html
,ISO 8669-1:1988,Urine collection bags  Part 1: Vocabulary,https://www.iso.org/standard/16064.html
,ISO 8669-2:1996,Urine collection bags  Part 2: Requirements and test methods,https://www.iso.org/standard/2951.html
,ISO 8669-3:1990,Urine collection bags  Part 3: Verification of rated volume,https://www.iso.org/standard/16066.html
,ISO 8669-4:1990,Urine collection bags  Part 4: Determination of freedom from leakage,https://www.iso.org/standard/16067.html
,ISO 8670-1:1988,Ostomy collection bags  Part 1: Vocabulary,https://www.iso.org/standard/16068.html
,ISO 8670-3:2000,Ostomy collection bags  Part 3: Determination of odour transmission of colostomy and ileostomy bags,https://www.iso.org/standard/24027.html
,ISO 9949-1:1993,Urine absorbing aids  Vocabulary  Part 1: Conditions of urinary incontinence,https://www.iso.org/standard/17845.html
,ISO 9949-2:1993,Urine absorbing aids  Vocabulary  Part 2: Products,https://www.iso.org/standard/17846.html
,ISO 9949-3:1993,Urine absorbing aids  Vocabulary  Part 3: Identification of product types,https://www.iso.org/standard/17847.html
,ISO 11948-1:1996,Urine-absorbing aids  Part 1: Whole-product testing,https://www.iso.org/standard/20546.html
,ISO 11948-2:1998,Urine-absorbing aids  Part 2: Determination of short-time liquid release (leakage) under conditions of light incontinence and low pressure,https://www.iso.org/standard/1669.html
,ISO 12505-1:2014,Skin barrier for ostomy aids  Test methods  Part 1: Size surface pH and water-absorbency,https://www.iso.org/standard/60178.html
,ISO 12505-2:2016,Skin barrier for ostomy aids  Test methods  Part 2: Wet integrity and adhesive strength,https://www.iso.org/standard/68415.html
,ISO 15621:2017,Absorbent incontinence aids for urine and/or faeces  General guidelines on evaluation,https://www.iso.org/standard/65740.html
,ISO 16021:2024,Absorbent incontinence products for urine and/or faeces  Basic principles for evaluation of single-use adult products from the perspective of users and caregivers,https://www.iso.org/standard/84852.html
,ISO 16391:2002,Aids for ostomy and incontinence  Irrigation sets  Requirements and test methods,https://www.iso.org/standard/30270.html
,ISO 17190-1:2020,Urine-absorbing aids for incontinence  Polyacrylate superabsorbent powders  Part 1: Test method for determination of pH,https://www.iso.org/standard/78186.html
,ISO 17190-2:2021,Urine-absorbing aids for incontinence  Polyacrylate superabsorbent powders  Part 2: Test method for determination of the amount of residual acrylate monomers,https://www.iso.org/standard/78187.html
